route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,COTA,1,KENNY/LIVINGSTON,,3,,AF272F,FFFFFF
2,COTA,2,E MAIN/N HIGH,,3,,AF272F,FFFFFF
3,COTA,3,NORTHWEST/HARRISBURG,,3,,00205B,FFFFFF
4,COTA,4,INDIANOLA/LOCKBOURNE,,3,,00205B,FFFFFF
5,COTA,5,W 5TH AVE/REFUGEE,,3,,AF272F,FFFFFF
6,COTA,6,CLEVELAND/SULLIVANT,,3,,00205B,FFFFFF
7,COTA,7,MT VERNON,,3,,AF272F,FFFFFF
8,COTA,8,KARL/S HIGH/PARSONS,,3,,AF272F,FFFFFF
9,COTA,9,W MOUND/BRENTNELL,,3,,00205B,FFFFFF
10,COTA,10,E BROAD/W BROAD,,3,,AF272F,FFFFFF
11,COTA,11,BRYDEN/MAIZE,,3,,00205B,FFFFFF
12,COTA,12,MCKINLEY/FIELDS,,3,,00205B,FFFFFF
21,COTA,21,HILLIARD ROME,,3,,00205B,FFFFFF
22,COTA,22,OSU-RICKENBACKER,,3,,00205B,FFFFFF
23,COTA,23,JAMES-STELZER,,3,,AF272F,FFFFFF
24,COTA,24,HAMILTON RD,,3,,00205B,FFFFFF
25,COTA,25,BRICE,,3,,00205B,FFFFFF
31,COTA,31,HUDSON,,3,,00205B,FFFFFF
32,COTA,32,N BROADWAY,,3,,00205B,FFFFFF
33,COTA,33,HENDERSON,,3,,00205B,FFFFFF
34,COTA,34,MORSE,,3,,AF272F,FFFFFF
101,COTA,CMAX,CMAX,,3,,AF272F,FFFFFF
102,COTA,102,POLARIS PKWY/N HIGH,,3,,00205B,FFFFFF
